TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.630000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
TEMP_NORTH=16.750000,TEMP_SOUTH=28.720000
